Indicador,Provincia,Ano,Valor,Unidad,Frecuencia, 
Produccion de energia con carbon,Leon,2000,2696889,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2000,248492,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2001,2389104,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2001,237661,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2002,2207886,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2002,212658,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2003,2198313,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2003,200269,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2004,2152631,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2004,186719,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2005,2023527,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2005,213807,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2006,2019091,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2006,219936,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2007,1886220,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2007,196750,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2008,1677471,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2008,52893,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2009,1392165,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2009,118105,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2010,1080298,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2010,88997,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2011,814387,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2011,71115,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2012,734358,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2012,15793,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2013,452924,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2013,30108,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Leon,2014,479538,Toneladas equivalentes de petroleo,12,meses
Produccion de energia con carbon,Palencia,2014,18761,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Avila,2000,8587,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Burgos,2000,11140,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Leon,2000,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Palencia,2000,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Salamanca,2000,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Segovia,2000,396,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Soria,2000,20485,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Valladolid,2000,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Zamora,2000,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Avila,2001,10281,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Burgos,2001,13117,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Leon,2001,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Palencia,2001,2543,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Salamanca,2001,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Segovia,2001,2821,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Soria,2001,23497,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Valladolid,2001,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Zamora,2001,3173,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Avila,2002,18740,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Burgos,2002,24949,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Leon,2002,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Palencia,2002,4562,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Salamanca,2002,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Segovia,2002,3120,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Soria,2002,34537,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Valladolid,2002,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Zamora,2002,24132,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Avila,2003,20399,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Burgos,2003,32543,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Leon,2003,5229,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Palencia,2003,13518,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Salamanca,2003,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Segovia,2003,3120,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Soria,2003,34537,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Valladolid,2003,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Zamora,2003,24132,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Avila,2004,18594,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Burgos,2004,59337,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Leon,2004,7857,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Palencia,2004,20410,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Salamanca,2004,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Segovia,2004,2412,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Soria,2004,54853,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Valladolid,2004,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Zamora,2004,37819,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Avila,2005,20001,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Burgos,2005,69057,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Leon,2005,11586,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Palencia,2005,24776,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Salamanca,2005,4769,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Segovia,2005,7709,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Soria,2005,107239,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Valladolid,2005,0,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Zamora,2005,52628,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Avila,2006,21703,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Burgos,2006,111111,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Leon,2006,11468,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Palencia,2006,24463,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Salamanca,2006,6367,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Segovia,2006,7941,Toneladas equivalentes de petroleo,12,meses
Produccion de energia eolica,Soria,2006,114548,Toneladas equivalentes de petroleo,12,meses
